award received	Herbert Menges was appointed an Officer of the Order of the British Empire in 1963.	Herbert Menges	Officer of the Order of the British Empire
sport	Anne White (born September 28, 1961) is a former professional United States tennis player from Charleston, West Virginia.	Anne White	tennis
sport	Mark Merklein (born June 28, 1972) is a Bahamas-born former college and professional tennis player.	Mark Merklein	tennis
sport	Bridget Pettis (born January 1, 1971) is a former American college and professional basketball player who was a guard in the Women's National Basketball Association (WNBA) for eight seasons during the 1990s and 2000s.	Bridget Pettis	basketball
sport	EV Füssen, sometimes also called the Füssen Leopards, is an ice hockey team from Germany.	EV Füssen	ice hockey
sport	Hong Kong Premier League (Chinese: 香港超級聯賽) is a Hong Kong professional league for men's association football clubs organised by the Hong Kong Football Association.	Hong Kong Premier League	association football
sport	Giorgos Katidis (Greek: Γιώργος Κατίδης; born 12 February 1993) is a Greek association football player who plays for Levadiakos.	Giorgos Katidis	association football
sport	Démosthenes Magalhães, in Brazil better known as Démosthenes and in Italy as Demostene Bertini (17 November 1909 in Rio de Janeiro), was a Brazilian association football player.	Démosthenes Magalhães	association football
sport	Superfinalen (``The Super Final'') is a former Norwegian association football competition contested between the previous season's champions of the Norwegian Premier League and the Norwegian Football Cup.	Superfinalen	association football
sport	The Sanya Ladies Open is a golf tournament co-sanctioned on the Ladies Asian Golf Tour and the Ladies European Tour.	Sanya Ladies Open	golf
sport	Michael Rasmussen (born 1 June 1974) is a retired Danish professional bicycle racer, who competed in road racing and mountain biking.	Michael Rasmussen	mountain biking
sport	Howard Carston Catcheside OBE (18 August 1899 -- 10 May 1987) was an English rugby union player.	Carston Catcheside	rugby union
sport	Jordi Puig Vicens (born April 16, 1971 in Girona, Catalonia, Spain) is a retired basketball player.	Jordi Puig	basketball
sport	Igor Bijelić (born September 9, 1988) is a Montenegrin professional basketball player who currently plays for KK Kumanovo of the Macedonian First League (basketball).	Igor Bijelić	basketball
sport	Lisa Bluder (born April 16, 1961) is the head coach for the Iowa Hawkeyes women's basketball program.	Lisa Bluder	basketball
sport	Stade Bordelais are a French rugby union club, based in Bordeaux.	Stade Bordelais	rugby union
sport	Hiram Fuller a.k.a. Hesham Ali Salem (born May 13, 1981) is Libyan professional basketball player, who grew up in the United States.	Hiram Fuller	basketball
sport	The World Rugby Under 20 Championship (known as the IRB Junior World Championship until 2014) is an international rugby union competition.	World Rugby Under 20 Championship	rugby union
sport	Sha'reff Rashad, Jr. (born October 6, 1986) is a former American football safety.	Sha'reff Rashad	American football
sport	The SV Wacker Burghausen II is a defunct German association football club from Burghausen, Bavaria.	SV Wacker Burghausen II	association football
sport	The Israel Super Cup, also known as Champion of Champions (Hebrew: אלוף האלופים‎, Aluf HaAlufym) is an Israeli association football club competition played as a single match between the winner of the latest Israeli top league champions and the winner of the latest Israel State Cup.	Israel Super Cup	association football
sport	The Springfield Celts Rugby Club is a Division III rugby union team based in Springfield, Illinois, United States and is currently in the Illinois Union.	Springfield Celts Rugby Club	rugby union
sport	Blair Connor born 29 September 1988 in Brisbane, Australia is a rugby union player from Brisbane, Australia.	Blair Connor	rugby union
sport	Rajko Žižić (January 22, 1955 -- August 7, 2003) was a Serbian and Yugoslav professional basketball player.	Rajko Žižić	basketball
sport	Garreth Carvell is a retired English professional rugby league footballer.	Garreth Carvell	rugby league
sport	Raymond Gause is a Puerto Rican former basketball player.	Raymond Gause	basketball
sport	The Bærum Blue Devils is an American football club based in Bærum, Norway.	Bærum Blue Devils	American football
sport	The 2014 Foxtel Cup was the fourth and final season of the Australian rules football knock-out competition involving clubs from the various state league competitions from around Australia.	2014 Foxtel Cup	Australian rules football
sport	The Patinoire de Mériadeck is a sports complex located in Bordeaux, France, which is mainly used for ice hockey.	Patinoire de Mériadeck	ice hockey
sport	The Copa Ibérica de Rugby (Iberian Rugby Cup) is a rugby union knock-out competition played annually by clubs of the Spanish Rugby Federation and Portuguese Rugby Federation.	Copa Ibérica de Rugby	rugby union
sport	Rodrigo Rosario (born March 4, 1978 in San Pedro de Macorís, Dominican Republic), is a former professional baseball player.	Rodrigo Rosario	baseball
sport	Fyllingen Fotball was a Norwegian association football club from Fyllingsdalen, Bergen, Hordaland.	Fyllingen Fotball	association football
sport	Anthony Ricketts (born 12 March 1979 in Sydney, New South Wales) is a former professional squash player from Australia.	Anthony Ricketts	squash
sport	Kim Ki-sung (Korean: 김기성 born May 14, 1985 in Seoul) is a Korean professional ice hockey left winger.	Kim Ki-sung	ice hockey
sport	The 2010 Three Nationals Figure Skating Championships (Slovak: Majstrovstva CR a SR seniori) were the Czech, Slovak, and Polish national figure skating championships in the 2009--2010 season.	2010 Three Nationals Figure Skating Championships	figure skating
sport	Patrick Proisy (born 10 September 1949) is a French former professional tennis player best remembered for reaching the finals of the French Open in 1972 losing against Spaniard Andrés Gimeno in four sets.	Patrick Proisy	tennis
sport	Chastity Reed (born March 28, 1989) is an American professional women's basketball player in the Women's National Basketball Association (WNBA).	Chastity Reed	basketball
sport	Castleford Tigers RLFC are an English rugby league club based in Castleford, West Yorkshire that plays in the rugby league top-tier Super League.	Castleford Tigers	rugby league
sport	Celano F.C. Marsica (known as Celano F.C. Olimpia until the 2010-11 season) is an Italian association football from Celano, Abruzzo.	Celano F.C. Marsica	association football
sport	Jermaine Bucknor (born November 1, 1983) is a Canadian professional basketball player who currently plays for Belfius Mons-Hainaut of Belgium's Scooore League.	Jermaine Bucknor	basketball
sport	The KLM Open is an annual golf tournament played in the Netherlands, and has been part of the European Tour's schedule since the Tour was inaugurated in 1972.	KLM Open	golf
sport	The United States Basketball League (OTCQB: USBL), often abbreviated to the USBL, was a professional men's spring basketball league.	United States Basketball League	basketball
sport	Travis Tripucka (born May 3, 1989) is an American football long snapper who is currently a free agent.	Travis Tripucka	American football
sport	The 2015 State of Origin series was the 35th time the annual best-of-three series between the Queensland and New South Wales rugby league teams is played entirely under 'state of origin' rules (1980 and 1981 were only one game series).	2015 State of Origin series	rugby league
sport	Jean-Claude Casties (born November 11, 1936) is a French former professional association football player and manager.	Jean-Claude Casties	association football
sport	Guy Pnini (Hebrew: גיא פניני) (born September 4, 1983) is an Israeli professional basketball player who currently plays for the Maccabi Tel Aviv of the Israeli Super League.	Guy Pnini	basketball
sport	The 2014 FIBA Europe 3x3 Championships, hosted at the University Square in Bucharest, Romania, was the inaugural European 3x3 basketball event that featured separate competitions for men's and women's national teams.	2014 FIBA Europe 3x3 Championships	basketball
sport	The 2015 IFAF World Championship was the fifth instance of the IFAF World Championship, an international American football tournament.	2015 IFAF World Championship	American football
sport	Marcos Baghdatis (Greek: Μάρκος Παγδατής, (ˈmarkos paɣðaˈtis); born 17 June 1985) is a Cypriot professional tennis player.	Marcos Baghdatis	tennis
sport	Botkyrka HC was a Swedish ice hockey team.	Botkyrka HC	ice hockey
sport	Georgios Diamantakos (alternate spellings: Giorgos, George) (Greek: Γιώργος Διαμαντάκος; born January 14, 1995) is a Greek professional basketball player for GKK Šibenik, on loan from Darüşşafaka.	Georgios Diamantakos	basketball
sport	Bojan Radetić (Serbian: Бојан Радетић, born August 19, 1988) is a Serbian professional basketball player.	Bojan Radetić	basketball
sport	Lennox Lewis vs. Michael Grant, billed as ``Two Big'', was a professional boxing match contested on April 29, 2000 for the WBC, IBF, IBO and Lineal Heavyweight Championship.	Lennox Lewis vs. Michael Grant	boxing
sport	Purav Raja (born 7 December 1985) is an Indian tennis player playing on the ATP Challenger Tour.	Purav Raja	tennis
sport	The World Team Chess Championship is an international team chess event, eligible for the participation of 10 countries whose chess federations dominate their continent.	World Team Chess Championship	chess
sport	Ayşe Cora (born 3 March 1993) is a Turkish professional basketball player at the small forward position who plays for Galatasaray Medical Park.	Ayşe Cora	basketball
